DB_Code,Latitude,Longitude,Population_Group,Threshold
100326,28.6002282,77.329831,FLP,2000
105489,13.12330902,80.16023617,MET,3000
107447,22.6905001,88.46561991,MET,3000
109688,22.72211031,88.48261612,MET,3000
110245,21.1300889,79.1051354,TLP,2000
110626,13.1308265,80.2617795,MET,3000
136993,17.5072296,78.437633,MET,3000
140017,12.9198057,77.5141478,MET,3000
140918,17.3373995,78.5670379,MET,3000
144979,21.1662578,79.1311559,MET,2000
152021,22.68706733,75.90520963,TLP,2000
170844,22.74615479,75.91343999,50P,2000
176652,21.1478017,79.0035785,50P,2000
177509,25.3037654,82.9809761,TLP,2000
181322,22.694083,75.8352846,TLP,2000
181579,22.77776081,75.90407982,TLP,2000
182035,28.60248818,77.09098168,MET,3000
187180,22.77214796,75.88824978,TLP,2000
192042,21.16711574,78.98728061,TLP,2000
192240,21.1688739,79.0897314,TLP,2000
192553,22.71885597,75.84534269,TLP,2000
192589,28.5977934,77.0916769,MET,3000
192603,21.14514068,79.10903245,TLP,2000
192628,25.3163428,82.9666292,TLP,2000
192787,28.58045,77.3722015,FLP,2000
192888,22.69285154,88.47255992,OLP,2000
192973,28.6058116,77.0165396,MET,3000
192988,21.15138583,79.09235716,TLP,2000
193027,21.0973542,79.0040611,TLP,2000
193624,21.17812986,79.11209319,TLP,2000
