pincode,latitude,longitude,city,state
560001,12.9716,77.5946,Bangalore,Karnataka
560002,12.9823,77.5877,Bangalore,Karnataka
560003,12.9641,77.5852,Bangalore,Karnataka
560004,12.9854,77.6057,Bangalore,Karnataka
560005,12.9537,77.5869,Bangalore,Karnataka
560006,12.9363,77.5747,Bangalore,Karnataka
560007,12.9977,77.5685,Bangalore,Karnataka
560008,12.9447,77.5727,Bangalore,Karnataka
560009,12.9343,77.5998,Bangalore,Karnataka
560010,12.9606,77.6387,Bangalore,Karnataka
560011,12.9872,77.5553,Bangalore,Karnataka
560012,13.0103,77.5515,Bangalore,Karnataka
560013,12.9277,77.6316,Bangalore,Karnataka
560014,12.9098,77.5863,Bangalore,Karnataka
560015,12.8948,77.5957,Bangalore,Karnataka
560016,12.9216,77.5576,Bangalore,Karnataka
560017,12.8782,77.5918,Bangalore,Karnataka
560018,12.9127,77.6502,Bangalore,Karnataka
560019,12.8981,77.6476,Bangalore,Karnataka
560020,12.9482,77.6149,Bangalore,Karnataka
560021,12.9156,77.5439,Bangalore,Karnataka
560022,12.9567,77.5359,Bangalore,Karnataka
560023,12.9758,77.5428,Bangalore,Karnataka
560024,12.9002,77.5655,Bangalore,Karnataka
560025,12.8765,77.5732,Bangalore,Karnataka
560026,12.8883,77.5504,Bangalore,Karnataka
560027,12.9098,77.5299,Bangalore,Karnataka
560028,12.9436,77.5189,Bangalore,Karnataka
560029,12.9679,77.5093,Bangalore,Karnataka
560030,12.8617,77.5638,Bangalore,Karnataka
560031,12.9734,77.5248,Bangalore,Karnataka
560032,12.8459,77.5832,Bangalore,Karnataka
560033,12.8234,77.6421,Bangalore,Karnataka
560034,12.9897,77.5782,Bangalore,Karnataka
560035,12.9756,77.5987,Bangalore,Karnataka
560036,12.8572,77.6312,Bangalore,Karnataka
560037,12.9656,77.6672,Bangalore,Karnataka
560038,12.9234,77.6798,Bangalore,Karnataka
560039,12.9454,77.6905,Bangalore,Karnataka
560040,12.9812,77.6389,Bangalore,Karnataka
560041,12.8998,77.6654,Bangalore,Karnataka
560042,12.9203,77.5088,Bangalore,Karnataka
560043,12.8713,77.6923,Bangalore,Karnataka
560045,12.9065,77.4906,Bangalore,Karnataka
560046,12.8923,77.5223,Bangalore,Karnataka
560047,12.8445,77.6698,Bangalore,Karnataka
560048,12.8623,77.7012,Bangalore,Karnataka
560050,12.9723,77.6298,Bangalore,Karnataka
560051,12.9845,77.6456,Bangalore,Karnataka
560052,12.9912,77.6612,Bangalore,Karnataka
560053,12.9998,77.6234,Bangalore,Karnataka
560054,13.0012,77.5689,Bangalore,Karnataka
560055,12.8856,77.5978,Bangalore,Karnataka
560056,13.0234,77.5878,Bangalore,Karnataka
560057,12.9876,77.4923,Bangalore,Karnataka
560058,12.9234,77.5678,Bangalore,Karnataka
560059,12.9534,77.4812,Bangalore,Karnataka
560060,13.0089,77.5234,Bangalore,Karnataka
560061,12.9456,77.7123,Bangalore,Karnataka
560062,13.0345,77.5456,Bangalore,Karnataka
560063,12.9678,77.7234,Bangalore,Karnataka
560064,13.0456,77.6123,Bangalore,Karnataka
560065,12.8512,77.5423,Bangalore,Karnataka
560066,12.8234,77.5612,Bangalore,Karnataka
560067,13.0567,77.5789,Bangalore,Karnataka
560068,12.9012,77.4567,Bangalore,Karnataka
560069,12.8756,77.4823,Bangalore,Karnataka
560070,13.0234,77.6456,Bangalore,Karnataka
